trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
485,2,1998-05-05,VYDAJ,"PREVOD NA UCET",7266,22892,SIPO,QR,13943797
486,2,1998-06-05,VYDAJ,"PREVOD NA UCET",7266,29502,SIPO,QR,13943797
487,2,1998-07-05,VYDAJ,"PREVOD NA UCET",7266,41276,SIPO,QR,13943797
488,2,1998-08-05,VYDAJ,"PREVOD NA UCET",7266,43048,SIPO,QR,13943797
489,2,1998-09-05,VYDAJ,"PREVOD NA UCET",7266,35600,SIPO,QR,13943797
490,2,1998-10-05,VYDAJ,"PREVOD NA UCET",7266,36750,SIPO,QR,13943797
491,2,1998-11-05,VYDAJ,"PREVOD NA UCET",7266,38799,SIPO,QR,13943797
492,2,1998-12-05,VYDAJ,"PREVOD NA UCET",7266,27517,SIPO,QR,13943797
529,2,1998-08-13,VYBER,VYBER,4198,55986,NULL,NULL,NULL
532,2,1998-03-19,VYBER,VYBER,18119,31627,NULL,NULL,NULL
533,2,1998-11-19,VYBER,VYBER,3010,47225,NULL,NULL,NULL
545,2,1998-01-20,VYDAJ,VYBER,11700,30346,NULL,NULL,NULL
551,2,1998-12-02,VYDAJ,VYBER,1800,34783,NULL,NULL,NULL
583,2,1998-01-10,VYDAJ,VYBER,4200,25110,NULL,NULL,NULL
584,2,1998-01-08,VYDAJ,VYBER,3900,29310,NULL,NULL,NULL
586,2,1998-01-18,VYDAJ,VYBER,3300,42046,NULL,NULL,NULL
619,2,1998-12-15,VYDAJ,VYBER,8700,45471,NULL,NULL,NULL
620,2,1998-11-21,VYDAJ,VYBER,6000,41225,NULL,NULL,NULL
621,2,1998-11-06,VYDAJ,VYBER,4500,34299,NULL,NULL,NULL
622,2,1998-12-17,VYDAJ,VYBER,3000,42471,NULL,NULL,NULL
623,2,1998-08-16,VYDAJ,VYBER,10200,45786,NULL,NULL,NULL
624,2,1998-11-16,VYDAJ,VYBER,2100,50235,NULL,NULL,NULL
686,2,1998-01-31,VYDAJ,VYBER,15,31782,SLUZBY,NULL,NULL
687,2,1998-02-28,VYDAJ,VYBER,15,40876,SLUZBY,NULL,NULL
688,2,1998-03-31,VYDAJ,VYBER,15,29057,SLUZBY,NULL,NULL
689,2,1998-04-30,VYDAJ,VYBER,15,40558,SLUZBY,NULL,NULL
690,2,1998-05-31,VYDAJ,VYBER,15,36768,SLUZBY,NULL,NULL
691,2,1998-06-30,VYDAJ,VYBER,15,48542,SLUZBY,NULL,NULL
692,2,1998-07-31,VYDAJ,VYBER,15,50314,SLUZBY,NULL,NULL
693,2,1998-08-31,VYDAJ,VYBER,15,42866,SLUZBY,NULL,NULL
694,2,1998-09-30,VYDAJ,VYBER,15,44016,SLUZBY,NULL,NULL
695,2,1998-10-31,VYDAJ,VYBER,15,46065,SLUZBY,NULL,NULL
696,2,1998-11-30,VYDAJ,VYBER,15,36583,SLUZBY,NULL,NULL
755,2,1998-01-01,VYDAJ,VYBER,10200,43676,NULL,NULL,NULL
756,2,1998-01-31,PRIJEM,VKLAD,1300,31646,NULL,NULL,NULL
757,2,1998-03-02,VYDAJ,VYBER,4100,36776,NULL,NULL,NULL
758,2,1998-04-01,PRIJEM,VKLAD,1800,30857,NULL,NULL,NULL
759,2,1998-05-01,VYDAJ,VYBER,6800,33758,NULL,NULL,NULL
760,2,1998-05-31,VYDAJ,VYBER,6500,36782,NULL,NULL,NULL
761,2,1998-06-30,VYDAJ,VYBER,8000,48556,NULL,NULL,NULL
762,2,1998-07-30,VYDAJ,VYBER,9400,50112,NULL,NULL,NULL
763,2,1998-08-29,VYDAJ,VYBER,3100,42686,NULL,NULL,NULL
764,2,1998-09-28,VYDAJ,VYBER,7200,43836,NULL,NULL,NULL
765,2,1998-10-28,VYDAJ,VYBER,7900,45886,NULL,NULL,NULL
766,2,1998-11-27,VYDAJ,VYBER,4800,36425,NULL,NULL,NULL
850,3,1998-01-11,PRIJEM,VKLAD,7502,20730,NULL,NULL,NULL
851,3,1998-02-11,PRIJEM,VKLAD,7502,15096,NULL,NULL,NULL
852,3,1998-03-11,PRIJEM,VKLAD,7502,23239,NULL,NULL,NULL
853,3,1998-04-11,PRIJEM,VKLAD,7502,26813,NULL,NULL,NULL
854,3,1998-05-11,PRIJEM,VKLAD,7502,25481,NULL,NULL,NULL
855,3,1998-06-11,PRIJEM,VKLAD,11253,27420,NULL,NULL,NULL
856,3,1998-07-11,PRIJEM,VKLAD,7502,31013,NULL,NULL,NULL
857,3,1998-08-11,PRIJEM,VKLAD,7502,34122,NULL,NULL,NULL
858,3,1998-09-11,PRIJEM,VKLAD,7502,36545,NULL,NULL,NULL
859,3,1998-10-11,PRIJEM,VKLAD,7502,41079,NULL,NULL,NULL
860,3,1998-11-11,PRIJEM,VKLAD,7502,45232,NULL,NULL,NULL
861,3,1998-12-11,PRIJEM,VKLAD,11253,53447,NULL,NULL,NULL
874,3,1998-01-06,VYDAJ,"PREVOD NA UCET",1135,18414,SIPO,WX,83084338
875,3,1998-02-06,VYDAJ,"PREVOD NA UCET",1135,11460,SIPO,WX,83084338
876,3,1998-03-06,VYDAJ,"PREVOD NA UCET",1135,19603,SIPO,WX,83084338
877,3,1998-04-06,VYDAJ,"PREVOD NA UCET",1135,23177,SIPO,WX,83084338
878,3,1998-05-06,VYDAJ,"PREVOD NA UCET",1135,21845,SIPO,WX,83084338
879,3,1998-06-06,VYDAJ,"PREVOD NA UCET",1135,20033,SIPO,WX,83084338
880,3,1998-07-06,VYDAJ,"PREVOD NA UCET",1135,27377,SIPO,WX,83084338
881,3,1998-08-06,VYDAJ,"PREVOD NA UCET",1135,30486,SIPO,WX,83084338
882,3,1998-09-06,VYDAJ,"PREVOD NA UCET",1135,32909,SIPO,WX,83084338
883,3,1998-10-06,VYDAJ,"PREVOD NA UCET",1135,37443,SIPO,WX,83084338
884,3,1998-11-06,VYDAJ,"PREVOD NA UCET",1135,41596,SIPO,WX,83084338
885,3,1998-12-06,VYDAJ,"PREVOD NA UCET",1135,46060,SIPO,WX,83084338
898,3,1998-01-07,VYDAJ,"PREVOD NA UCET",327,18087," ",CD,24485939
899,3,1998-02-07,VYDAJ,"PREVOD NA UCET",327,11133," ",CD,24485939
900,3,1998-03-07,VYDAJ,"PREVOD NA UCET",327,19276," ",CD,24485939
901,3,1998-04-07,VYDAJ,"PREVOD NA UCET",327,22850," ",CD,24485939
902,3,1998-05-07,VYDAJ,"PREVOD NA UCET",327,21518," ",CD,24485939
903,3,1998-06-07,VYDAJ,"PREVOD NA UCET",327,19706," ",CD,24485939
904,3,1998-07-07,VYDAJ,"PREVOD NA UCET",327,27050," ",CD,24485939
905,3,1998-08-07,VYDAJ,"PREVOD NA UCET",327,30159," ",CD,24485939
906,3,1998-09-07,VYDAJ,"PREVOD NA UCET",327,32582," ",CD,24485939
907,3,1998-10-07,VYDAJ,"PREVOD NA UCET",327,37116," ",CD,24485939
908,3,1998-11-07,VYDAJ,"PREVOD NA UCET",327,41269," ",CD,24485939
909,3,1998-12-07,VYDAJ,"PREVOD NA UCET",327,45733," ",CD,24485939
922,3,1998-01-09,VYDAJ,"PREVOD NA UCET",3539,14548,POJISTNE,AB,59972357
923,3,1998-02-09,VYDAJ,"PREVOD NA UCET",3539,7594,POJISTNE,AB,59972357
924,3,1998-03-09,VYDAJ,"PREVOD NA UCET",3539,15737,POJISTNE,AB,59972357
925,3,1998-04-09,VYDAJ,"PREVOD NA UCET",3539,19311,POJISTNE,AB,59972357
926,3,1998-05-09,VYDAJ,"PREVOD NA UCET",3539,17979,POJISTNE,AB,59972357
927,3,1998-06-09,VYDAJ,"PREVOD NA UCET",3539,16167,POJISTNE,AB,59972357
928,3,1998-07-09,VYDAJ,"PREVOD NA UCET",3539,23511,POJISTNE,AB,59972357
929,3,1998-08-09,VYDAJ,"PREVOD NA UCET",3539,26620,POJISTNE,AB,59972357
930,3,1998-09-09,VYDAJ,"PREVOD NA UCET",3539,29043,POJISTNE,AB,59972357
931,3,1998-10-09,VYDAJ,"PREVOD NA UCET",3539,33577,POJISTNE,AB,59972357
932,3,1998-11-09,VYDAJ,"PREVOD NA UCET",3539,37730,POJISTNE,AB,59972357
933,3,1998-12-09,VYDAJ,"PREVOD NA UCET",3539,42194,POJISTNE,AB,59972357
939,3,1998-12-24,VYDAJ,VYBER,2560,50887,NULL,NULL,NULL
946,3,1998-01-30,VYDAJ,VYBER,2760,12330,NULL,NULL,NULL
947,3,1998-01-10,VYDAJ,VYBER,1320,13228,NULL,NULL,NULL
948,3,1998-01-29,VYDAJ,VYBER,2280,15090,NULL,NULL,NULL
949,3,1998-01-22,VYDAJ,VYBER,3360,17370,NULL,NULL,NULL
950,3,1998-01-04,VYDAJ,VYBER,1560,19549,NULL,NULL,NULL
951,3,1998-01-03,VYDAJ,VYBER,2040,24709,NULL,NULL,NULL
956,3,1998-04-22,VYDAJ,VYBER,3120,23693,NULL,NULL,NULL
957,3,1998-11-11,VYDAJ,VYBER,2400,42832,NULL,NULL,NULL
971,3,1998-01-31,VYDAJ,VYBER,15,12395,SLUZBY,NULL,NULL
972,3,1998-02-28,VYDAJ,VYBER,15,15138,SLUZBY,NULL,NULL
973,3,1998-03-31,VYDAJ,VYBER,15,23312,SLUZBY,NULL,NULL
974,3,1998-04-30,VYDAJ,VYBER,15,23780,SLUZBY,NULL,NULL
975,3,1998-05-31,VYDAJ,VYBER,15,25568,SLUZBY,NULL,NULL
976,3,1998-06-30,VYDAJ,VYBER,15,27512,SLUZBY,NULL,NULL
977,3,1998-07-31,VYDAJ,VYBER,15,31121,SLUZBY,NULL,NULL
978,3,1998-08-31,VYDAJ,VYBER,15,34244,SLUZBY,NULL,NULL
979,3,1998-09-30,VYDAJ,VYBER,15,38578,SLUZBY,NULL,NULL
980,3,1998-10-31,VYDAJ,VYBER,15,42731,SLUZBY,NULL,NULL
981,3,1998-11-30,VYDAJ,VYBER,15,47195,SLUZBY,NULL,NULL
987,3,1998-01-03,VYDAJ,VYBER,3600,21109,NULL,NULL,NULL
988,3,1998-02-02,PRIJEM,VKLAD,200,12595,NULL,NULL,NULL
989,3,1998-03-04,PRIJEM,VKLAD,5600,20738,NULL,NULL,NULL
990,3,1998-04-03,PRIJEM,VKLAD,1000,24312,NULL,NULL,NULL
991,3,1998-05-03,VYDAJ,VYBER,800,22980,NULL,NULL,NULL
992,3,1998-06-02,VYDAJ,VYBER,4400,21168,NULL,NULL,NULL
993,3,1998-07-02,PRIJEM,VKLAD,1000,28512,NULL,NULL,NULL
994,3,1998-08-01,PRIJEM,VKLAD,500,31621,NULL,NULL,NULL
995,3,1998-08-31,VYDAJ,VYBER,200,34044,NULL,NULL,NULL
996,3,1998-09-30,PRIJEM,VKLAD,1900,38592,NULL,NULL,NULL
997,3,1998-10-30,PRIJEM,VKLAD,1500,42579,NULL,NULL,NULL
998,3,1998-11-29,PRIJEM,VKLAD,4200,47032,NULL,NULL,NULL
1042,4,1998-01-11,PRIJEM,"PREVOD Z UCTU",5553,20072,DUCHOD,UV,89899795
1043,4,1998-02-11,PRIJEM,"PREVOD Z UCTU",5553,16691,DUCHOD,UV,89899795
1044,4,1998-03-11,PRIJEM,"PREVOD Z UCTU",5553,18928,DUCHOD,UV,89899795
1045,4,1998-04-11,PRIJEM,"PREVOD Z UCTU",5553,21174,DUCHOD,UV,89899795
1046,4,1998-05-11,PRIJEM,"PREVOD Z UCTU",5553,22627,DUCHOD,UV,89899795
1047,4,1998-06-11,PRIJEM,"PREVOD Z UCTU",5553,24328,DUCHOD,UV,89899795
1048,4,1998-07-11,PRIJEM,"PREVOD Z UCTU",5553,25874,DUCHOD,UV,89899795
1049,4,1998-08-11,PRIJEM,"PREVOD Z UCTU",5553,26307,DUCHOD,UV,89899795
1050,4,1998-09-11,PRIJEM,"PREVOD Z UCTU",5553,28584,DUCHOD,UV,89899795
1051,4,1998-10-11,PRIJEM,"PREVOD Z UCTU",5553,30869,DUCHOD,UV,89899795
1052,4,1998-11-11,PRIJEM,"PREVOD Z UCTU",5553,33165,DUCHOD,UV,89899795
1053,4,1998-12-11,PRIJEM,"PREVOD Z UCTU",5553,34870,DUCHOD,UV,89899795
1078,4,1998-01-06,VYDAJ,"PREVOD NA UCET",2078,17799,SIPO,UV,26693541
1079,4,1998-02-06,VYDAJ,"PREVOD NA UCET",2078,11138,SIPO,UV,26693541
1080,4,1998-03-06,VYDAJ,"PREVOD NA UCET",2078,13375,SIPO,UV,26693541
1081,4,1998-04-06,VYDAJ,"PREVOD NA UCET",2078,15621,SIPO,UV,26693541
1082,4,1998-05-06,VYDAJ,"PREVOD NA UCET",2078,17074,SIPO,UV,26693541
1083,4,1998-06-06,VYDAJ,"PREVOD NA UCET",2078,18775,SIPO,UV,26693541
1084,4,1998-07-06,VYDAJ,"PREVOD NA UCET",2078,20321,SIPO,UV,26693541
1085,4,1998-08-06,VYDAJ,"PREVOD NA UCET",2078,20754,SIPO,UV,26693541
1086,4,1998-09-06,VYDAJ,"PREVOD NA UCET",2078,23031,SIPO,UV,26693541
1087,4,1998-10-06,VYDAJ,"PREVOD NA UCET",2078,25316,SIPO,UV,26693541
1088,4,1998-11-06,VYDAJ,"PREVOD NA UCET",2078,27612,SIPO,UV,26693541
1089,4,1998-12-06,VYDAJ,"PREVOD NA UCET",2078,29317,SIPO,UV,26693541
1114,4,1998-01-13,VYDAJ,"PREVOD NA UCET",1285,15267," ",UV,5848086
1115,4,1998-02-13,VYDAJ,"PREVOD NA UCET",1285,15406," ",UV,5848086
1116,4,1998-03-13,VYDAJ,"PREVOD NA UCET",1285,17643," ",UV,5848086
1117,4,1998-04-13,VYDAJ,"PREVOD NA UCET",1285,19089," ",UV,5848086
1118,4,1998-05-13,VYDAJ,"PREVOD NA UCET",1285,21342," ",UV,5848086
1119,4,1998-06-13,VYDAJ,"PREVOD NA UCET",1285,23043," ",UV,5848086
1120,4,1998-07-13,VYDAJ,"PREVOD NA UCET",1285,24589," ",UV,5848086
1121,4,1998-08-13,VYDAJ,"PREVOD NA UCET",1285,25022," ",UV,5848086
1122,4,1998-09-13,VYDAJ,"PREVOD NA UCET",1285,27299," ",UV,5848086
1123,4,1998-10-13,VYDAJ,"PREVOD NA UCET",1285,29584," ",UV,5848086
1124,4,1998-11-13,VYDAJ,"PREVOD NA UCET",1285,31880," ",UV,5848086
1125,4,1998-12-13,VYDAJ,"PREVOD NA UCET",1285,33585," ",UV,5848086
1131,4,1998-01-20,VYDAJ,VYBER,2100,13167,NULL,NULL,NULL
1134,4,1998-12-03,VYDAJ,VYBER,600,31395,NULL,NULL,NULL
1148,4,1998-01-07,VYDAJ,VYBER,1680,16119,NULL,NULL,NULL
1149,4,1998-01-11,VYDAJ,VYBER,2320,17752,NULL,NULL,NULL
1151,4,1998-01-08,VYDAJ,VYBER,1600,14519,NULL,NULL,NULL
1152,4,1998-01-12,VYDAJ,VYBER,1200,16552,NULL,NULL,NULL
1160,4,1998-06-03,VYDAJ,VYBER,560,20853,NULL,NULL,NULL
1161,4,1998-06-17,VYDAJ,VYBER,720,22323,NULL,NULL,NULL
1162,4,1998-07-24,VYDAJ,VYBER,1840,22749,NULL,NULL,NULL
1188,4,1998-01-31,VYDAJ,VYBER,15,13216,SLUZBY,NULL,NULL
1189,4,1998-02-28,VYDAJ,VYBER,15,15453,SLUZBY,NULL,NULL
1190,4,1998-03-31,VYDAJ,VYBER,15,17699,SLUZBY,NULL,NULL
1191,4,1998-04-30,VYDAJ,VYBER,15,19152,SLUZBY,NULL,NULL
1192,4,1998-05-31,VYDAJ,VYBER,15,21413,SLUZBY,NULL,NULL
1193,4,1998-06-30,VYDAJ,VYBER,15,22399,SLUZBY,NULL,NULL
1194,4,1998-07-31,VYDAJ,VYBER,15,22832,SLUZBY,NULL,NULL
1195,4,1998-08-31,VYDAJ,VYBER,15,25109,SLUZBY,NULL,NULL
1196,4,1998-09-30,VYDAJ,VYBER,15,27394,SLUZBY,NULL,NULL
1197,4,1998-10-31,VYDAJ,VYBER,15,29690,SLUZBY,NULL,NULL
1198,4,1998-11-30,VYDAJ,VYBER,15,31995,SLUZBY,NULL,NULL
1206,4,1998-04-11,VYDAJ,VYBER,800,20374,NULL,NULL,NULL
1250,5,1998-01-13,PRIJEM,"PREVOD Z UCTU",5017,25750,DUCHOD,KL,66297393
1251,5,1998-02-13,PRIJEM,"PREVOD Z UCTU",5017,24425,DUCHOD,KL,66297393
1252,5,1998-03-13,PRIJEM,"PREVOD Z UCTU",5017,26857,DUCHOD,KL,66297393
1253,5,1998-04-13,PRIJEM,"PREVOD Z UCTU",5017,28499,DUCHOD,KL,66297393
1254,5,1998-05-13,PRIJEM,"PREVOD Z UCTU",5017,28746,DUCHOD,KL,66297393
1255,5,1998-06-13,PRIJEM,"PREVOD Z UCTU",5017,28794,DUCHOD,KL,66297393
1256,5,1998-07-13,PRIJEM,"PREVOD Z UCTU",5017,30444,DUCHOD,KL,66297393
1257,5,1998-08-13,PRIJEM,"PREVOD Z UCTU",5017,28797,DUCHOD,KL,66297393
1258,5,1998-09-13,PRIJEM,"PREVOD Z UCTU",5017,26141,DUCHOD,KL,66297393
1259,5,1998-10-13,PRIJEM,"PREVOD Z UCTU",5017,27238,DUCHOD,KL,66297393
1260,5,1998-11-13,PRIJEM,"PREVOD Z UCTU",5017,29682,DUCHOD,KL,66297393
1261,5,1998-12-13,PRIJEM,"PREVOD Z UCTU",5017,32036,DUCHOD,KL,66297393
1274,5,1998-01-08,VYDAJ,"PREVOD NA UCET",2668,21533,SIPO,GH,37390208
1275,5,1998-02-08,VYDAJ,"PREVOD NA UCET",2668,19408,SIPO,GH,37390208
1276,5,1998-03-08,VYDAJ,"PREVOD NA UCET",2668,21840,SIPO,GH,37390208
1277,5,1998-04-08,VYDAJ,"PREVOD NA UCET",2668,23482,SIPO,GH,37390208
1278,5,1998-05-08,VYDAJ,"PREVOD NA UCET",2668,23729,SIPO,GH,37390208
1279,5,1998-06-08,VYDAJ,"PREVOD NA UCET",2668,23777,SIPO,GH,37390208
1280,5,1998-07-08,VYDAJ,"PREVOD NA UCET",2668,25427,SIPO,GH,37390208
1281,5,1998-08-08,VYDAJ,"PREVOD NA UCET",2668,23780,SIPO,GH,37390208
1282,5,1998-09-08,VYDAJ,"PREVOD NA UCET",2668,21124,SIPO,GH,37390208
1283,5,1998-10-08,VYDAJ,"PREVOD NA UCET",2668,22221,SIPO,GH,37390208
1284,5,1998-11-08,VYDAJ,"PREVOD NA UCET",2668,24665,SIPO,GH,37390208
1285,5,1998-12-08,VYDAJ,"PREVOD NA UCET",2668,27019,SIPO,GH,37390208
1287,5,1998-12-25,VYDAJ,VYBER,850,27966,NULL,NULL,NULL
1294,5,1998-01-11,VYDAJ,VYBER,800,20733,NULL,NULL,NULL
1295,5,1998-01-20,VYDAJ,VYBER,2240,23510,NULL,NULL,NULL
1296,5,1998-01-07,VYDAJ,VYBER,2080,24201,NULL,NULL,NULL
1297,5,1998-01-22,VYDAJ,VYBER,720,22790,NULL,NULL,NULL
1298,5,1998-01-07,VYDAJ,VYBER,1280,26281,NULL,NULL,NULL
1299,5,1998-01-27,VYDAJ,VYBER,800,21990,NULL,NULL,NULL
1305,5,1998-12-18,VYDAJ,VYBER,1520,28916,NULL,NULL,NULL
1306,5,1998-12-15,VYDAJ,VYBER,1600,30436,NULL,NULL,NULL
1307,5,1998-09-17,VYDAJ,VYBER,1040,25101,NULL,NULL,NULL
1321,5,1998-01-31,VYDAJ,VYBER,15,22076,SLUZBY,NULL,NULL
1322,5,1998-02-28,VYDAJ,VYBER,15,24508,SLUZBY,NULL,NULL
1323,5,1998-03-31,VYDAJ,VYBER,15,26150,SLUZBY,NULL,NULL
1324,5,1998-04-30,VYDAJ,VYBER,15,26397,SLUZBY,NULL,NULL
1325,5,1998-05-31,VYDAJ,VYBER,15,26445,SLUZBY,NULL,NULL
1326,5,1998-06-30,VYDAJ,VYBER,15,28095,SLUZBY,NULL,NULL
1327,5,1998-07-31,VYDAJ,VYBER,15,26448,SLUZBY,NULL,NULL
1328,5,1998-08-31,VYDAJ,VYBER,15,23792,SLUZBY,NULL,NULL
1329,5,1998-09-30,VYDAJ,VYBER,15,24889,SLUZBY,NULL,NULL
1330,5,1998-10-31,VYDAJ,VYBER,15,27333,SLUZBY,NULL,NULL
1331,5,1998-11-30,VYDAJ,VYBER,15,29687,SLUZBY,NULL,NULL
1332,5,1998-03-26,VYDAJ,VYBER,800,26057,NULL,NULL,NULL
1333,5,1998-04-25,VYDAJ,VYBER,2200,26299,NULL,NULL,NULL
1334,5,1998-05-25,VYDAJ,VYBER,2400,26346,NULL,NULL,NULL
1335,5,1998-06-24,VYDAJ,VYBER,800,27994,NULL,NULL,NULL
1336,5,1998-07-24,VYDAJ,VYBER,4100,26344,NULL,NULL,NULL
